phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,temp_end,temp_start,util_mem_avg,wall_s,window_s
decode,1,256,1,21.970996607000703,115.84634838709678,38.81290322580645,1530.0,0.18965635872772904,877.0,155,119.274,115.8,1.0441997064802921,1530,1530,80,67.30967741935484,68,66,25.670967741935485,3.641163913998753,3.641163913998753
decode,2,256,2,41.09323778223394,117.71391666666665,39.88636363636363,1530.0,0.3490941338618327,877.0,132,121.003,117.7705,0.9385588569205664,1530,1530,64,66.71969696969697,68,66,25.053030303030305,3.1148677229648456,3.1148677229648456
decode,4,256,4,82.96489869508562,125.70896183206112,43.48091603053435,1530.0,0.6599760071674226,877.0,131,128.34,125.817,1.4341056547819477,1530,1530,64,67.2824427480916,68,66,28.099236641221374,3.0856422900105827,3.0856422900105827
decode,8,256,8,170.14902433166523,147.35329487179493,53.59615384615385,1530.0,1.154701185879174,877.0,156,152.632,147.7375,3.245071555486892,1530,1530,80,70.82051282051282,72,69,34.28846153846154,3.7614085800014436,3.7614085800014436
decode,16,256,16,324.00399407441586,168.17210687022902,65.6412213740458,1530.0,1.9266214838138136,877.0,131,179.093,169.367,8.459361496894648,1530,1530,64,70.85496183206106,73,69,42.49618320610687,3.160454867000226,3.160454867000226
decode,32,256,32,618.6767026854228,229.45968840579712,96.02898550724638,1530.0,2.6962326454104626,877.0,138,247.898,236.72449999999998,28.172454971355513,1530,1530,64,76.8695652173913,81,73,61.007246376811594,3.3102911280002445,3.3102911280002445
decode,64,256,64,660.5417034143672,210.80667283950623,97.04938271604938,1415.4382716049383,3.13340035453839,877.0,162,260.534,225.0115,45.97976386073837,1530,1237,48,81.88271604938272,82,80,54.876543209876544,4.650728309992701,4.650728309992701
