klass,band,ratio_agg,via_workload,mapping_caveat,pre_sweet_cap_w,pre_tok_per_j_sweet,pre_tok_s_700w,dec_sweet_cap_w,dec_tok_per_j_sweet,dec_tok_s_700w,dec_sat_cap_w,pre_fit_R2,dec_fit_R2
Generation 创作生成,decode-heavy,0.09,longform-phi3,,575,38.92,26679.3,337,0.426,227.8,692,0.98,0.929
General QA 常识问答,decode-heavy,0.12,longform-phi3,,575,38.92,26679.3,337,0.426,227.8,692,0.98,0.929
Brainstorming 头脑风暴,decode-heavy,0.15,longform-phi3,,575,38.92,26679.3,337,0.426,227.8,692,0.98,0.929
Open QA 开放问答,decode-heavy,0.16,longform-phi3,,575,38.92,26679.3,337,0.426,227.8,692,0.98,0.929
Classification 分类,balanced,0.84,translate-qwen3b,,562,53.63,36778.2,388,3.336,1905.2,692,0.984,0.889
Summarization 摘要,prefill-heavy,2.3,summarize-qwen7b,Dolly short-doc 2.3:1 on 32k production-scale curves,515,15.232,9969.7,414,0.047,27.9,692,0.96,0.877
Chat 多轮对话,prefill-heavy,4.93,chat-phi3,trace accounting (full history re-prefilled per turn); serving shape with KV reuse ~1:2,548,36.194,24460.4,350,3.911,2032.7,690,0.976,0.829
Closed QA 闭卷问答,prefill-heavy,6.18,rag-phi3,Dolly 6.2:1 on ~4k RAG-scale curves (class shape 10:1),542,15.542,10572.0,371,1.179,656.0,692,0.982,0.905
Code 代码补全,prefill-heavy,73.45,code-phi3,2023 completion-trace 73.5:1; the rack doc plans with a conservative 10:1,532,21.946,14890.9,341,0.462,246.1,692,0.988,0.92
