t_s,strategy,phase,temp_c,sm_clk_mhz,power_w,work_done
247.83,A,run,82,360,87.4,1128
247.94,A,run,82,360,87.6,1132
248.08,A,run,81,360,85.5,1132
248.18,A,run,81,382,87.2,1136
248.28,A,run,81,390,85.6,1136
248.39,A,run,81,427,86.7,1140
248.54,A,run,81,435,84.5,1140
248.65,A,run,81,442,85.9,1140
248.75,A,run,81,480,118.7,1144
248.86,A,run,82,525,124.6,1148
248.98,A,run,82,555,130.2,1152
249.1,A,run,82,555,129.7,1156
249.23,A,run,82,555,129.2,1164
249.35,A,run,82,547,129.3,1168
249.47,A,run,83,547,127.8,1172
249.59,A,run,83,502,122.6,1176
249.71,A,run,83,480,120.0,1180
249.83,A,run,83,465,118.0,1184
249.96,A,run,82,442,87.8,1184
250.08,A,run,82,367,85.3,1188
250.23,A,run,82,367,87.4,1188
250.34,A,run,82,367,85.9,1192
250.44,A,run,81,375,86.2,1192
250.59,A,run,81,390,87.6,1196
250.7,A,run,81,397,86.4,1196
250.8,A,run,81,420,84.2,1200
250.91,A,run,81,420,86.8,1200
251.01,A,run,81,442,84.6,1200
251.12,A,run,81,510,126.6,1204
251.26,A,run,82,562,129.8,1208
251.37,A,run,82,570,132.4,1212
251.49,A,run,82,562,130.8,1220
251.62,A,run,82,562,130.1,1224
251.74,A,run,83,532,127.7,1228
251.86,A,run,83,525,124.5,1232
251.98,A,run,83,495,121.2,1236
252.1,A,run,83,487,120.8,1240
252.22,A,run,82,457,126.8,1244
252.35,A,run,82,375,85.4,1248
252.5,A,run,82,375,87.2,1248
252.6,A,run,82,375,87.0,1248
252.74,A,run,82,375,85.9,1252
252.92,A,run,81,382,86.4,1256
253.07,A,run,81,412,87.6,1256
253.18,A,run,81,420,84.4,1260
253.32,A,run,81,435,85.9,1260
253.43,A,run,81,472,116.7,1260
253.53,A,run,82,472,127.1,1268
253.66,A,run,82,472,129.6,1272
253.78,A,run,82,487,121.4,1272
253.9,A,run,82,532,125.5,1280
254.02,A,run,82,540,128.4,1284
254.14,A,run,83,540,127.3,1288
254.26,A,run,83,502,122.9,1292
254.39,A,run,83,502,123.5,1296
254.51,A,run,83,450,116.0,1300
254.63,A,run,83,412,88.5,1304
254.75,A,run,82,352,84.8,1304
254.86,A,run,82,360,84.9,1308
255.0,A,run,82,360,87.2,1308
255.1,A,run,82,360,86.9,1308
255.24,A,run,81,360,85.4,1312
255.35,A,run,81,367,86.4,1312
255.5,A,run,81,382,84.5,1316
255.61,A,run,81,390,86.6,1316
255.71,A,run,81,412,84.0,1320
255.82,A,run,81,412,84.1,1320
255.95,A,run,82,345,87.3,1324
256.14,A,run,82,465,119.2,1328
256.27,A,run,82,525,124.0,1332
256.39,A,run,82,547,129.2,1336
256.52,A,run,82,547,127.7,1340
256.64,A,run,82,547,129.3,1344
256.76,A,run,83,547,127.7,1352
256.88,A,run,83,502,123.3,1356
257.0,A,run,83,510,124.6,1360
257.12,A,run,83,472,118.5,1364
257.25,A,run,83,465,119.0,1368
257.37,A,run,82,352,88.1,1368
257.51,A,run,82,367,86.7,1372
257.61,A,run,82,375,87.0,1372
257.75,A,run,82,367,86.7,1376
257.89,A,run,82,367,86.8,1376
258.03,A,run,81,367,87.0,1380
258.17,A,run,81,397,84.8,1380
258.27,A,run,81,397,86.9,1380
258.38,A,run,81,420,84.9,1384
258.48,A,run,81,420,86.8,1384
258.58,A,run,81,450,103.9,1388
258.69,A,run,81,435,91.8,1388
258.83,A,run,81,472,117.2,1392
258.96,A,run,82,427,120.0,1396
259.14,A,run,82,525,125.0,1400
259.25,A,run,82,562,131.6,1404
259.37,A,run,82,562,131.2,1412
259.49,A,run,83,562,129.9,1416
259.62,A,run,83,517,125.0,1420
259.74,A,run,83,487,121.5,1424
259.86,A,run,83,480,120.2,1428
259.98,A,run,83,450,121.1,1432
260.11,A,run,82,375,88.2,1432
260.3,A,run,82,375,87.2,1436
260.41,A,run,82,382,87.2,1436
260.55,A,run,82,375,87.1,1440
260.68,A,run,82,375,84.7,1440
260.79,A,run,81,397,85.9,1444
260.94,A,run,81,412,86.4,1444
261.08,A,run,81,435,88.0,1448
261.19,A,run,81,450,92.2,1448
261.29,A,run,81,330,87.2,1452
261.39,A,run,81,502,122.5,1456
261.53,A,run,82,412,119.6,1460
261.69,A,run,82,480,119.8,1460
261.8,A,run,82,517,124.8,1464
261.92,A,run,82,540,128.6,1468
262.04,A,run,82,540,127.8,1476
262.16,A,run,83,540,128.9,1480
262.28,A,run,83,540,127.5,1484
262.4,A,run,83,517,125.9,1488
262.52,A,run,83,502,124.0,1492
262.64,A,run,83,472,119.6,1496
262.77,A,run,83,457,113.2,1500
262.9,A,run,82,352,89.1,1500
263.04,A,run,82,360,87.0,1504
263.14,A,run,82,360,87.4,1504
263.28,A,run,82,360,87.4,1508
263.42,A,run,82,360,85.0,1508
263.53,A,run,82,382,86.5,1512
263.68,A,run,82,375,86.7,1512
263.82,A,run,81,367,86.9,1516
263.97,A,run,81,360,86.9,1516
264.1,A,run,81,375,85.2,1520
264.21,A,run,81,397,87.0,1520
264.32,A,run,81,412,85.9,1524
264.42,A,run,81,427,86.3,1524
264.57,A,run,81,450,114.0,1528
264.71,A,run,82,480,119.0,1532
264.84,A,run,82,547,129.1,1536
264.96,A,run,82,555,129.8,1540
265.08,A,run,83,562,131.9,1544
265.2,A,run,83,555,130.7,1548
265.33,A,run,83,510,124.6,1552
265.45,A,run,83,502,122.1,1560
265.57,A,run,83,465,117.2,1564
265.69,A,run,83,427,87.7,1564
265.81,A,run,82,360,87.9,1568
265.92,A,run,82,367,89.0,1568
266.06,A,run,82,367,85.4,1572
266.21,A,run,82,367,85.5,1572
266.35,A,run,82,382,86.6,1576
266.5,A,run,82,375,86.8,1576
266.65,A,run,81,367,85.1,1580
266.83,A,run,81,412,86.6,1580
266.93,A,run,81,420,87.8,1584
267.08,A,run,81,427,85.3,1584
267.19,A,run,81,442,91.7,1588
267.3,A,run,81,450,87.6,1592
267.47,A,run,82,525,121.8,1596
267.58,A,run,82,555,128.6,1600
267.69,A,run,82,562,131.8,1604
267.82,A,run,83,562,131.1,1608
267.93,A,run,83,540,129.2,1612
268.06,A,run,83,525,126.0,1616
268.18,A,run,83,495,122.5,1620
268.3,A,run,83,480,115.3,1624
268.43,A,run,83,300,86.6,1628
268.61,A,run,82,375,88.1,1632
268.72,A,run,82,382,86.9,1632
268.82,A,run,82,382,86.5,1636
268.95,A,run,82,382,86.7,1636
269.09,A,run,82,382,87.0,1640
269.24,A,run,82,375,87.0,1640
269.38,A,run,82,382,84.7,1644
269.48,A,run,81,390,85.0,1644
269.62,A,run,81,420,86.5,1648
269.78,A,run,81,435,85.7,1648
269.92,A,run,81,435,92.9,1652
270.07,A,run,81,450,89.7,1656
270.25,A,run,82,517,119.9,1660
270.35,A,run,82,532,127.2,1664
270.47,A,run,82,540,127.8,1668
270.59,A,run,83,547,129.3,1672
270.71,A,run,83,547,127.8,1676
270.83,A,run,83,510,123.9,1680
270.95,A,run,83,510,124.6,1684
271.08,A,run,83,457,117.8,1688
271.2,A,run,83,435,90.1,1692
271.32,A,run,82,427,89.9,1692
271.43,A,run,82,352,87.0,1696
271.53,A,run,82,367,88.6,1696
271.63,A,run,82,360,86.8,1700
271.74,A,run,82,367,87.2,1700
271.88,A,run,82,367,87.0,1704
272.01,A,run,82,360,87.1,1704
272.16,A,run,82,367,84.9,1708
272.26,A,run,82,382,86.4,1708
272.42,A,run,81,360,87.0,1712
272.56,A,run,81,367,87.0,1712
272.71,A,run,81,382,85.4,1716
272.81,A,run,81,390,87.4,1716
272.92,A,run,81,420,86.1,1716
273.02,A,run,81,427,86.7,1720
273.17,A,run,81,442,86.3,1720
273.32,A,run,81,457,116.5,1724
273.42,A,run,82,487,119.7,1728
273.55,A,run,82,547,129.2,1732
273.67,A,run,82,555,129.9,1736
273.8,A,run,83,555,130.9,1740
273.91,A,run,83,525,124.7,1748
274.03,A,run,83,517,125.1,1752
274.16,A,run,83,487,121.4,1756
274.28,A,run,83,465,118.4,1760
274.41,A,run,83,442,89.8,1760
274.52,A,run,83,337,89.2,1764
274.63,A,run,82,330,87.4,1764
274.73,A,run,82,315,85.1,1768
274.84,A,run,82,315,87.4,1768
274.94,A,run,82,315,86.4,1772
275.06,A,run,82,322,87.1,1772
275.21,A,run,82,322,86.8,1776
275.34,A,run,82,322,87.0,1776
275.48,A,run,82,315,84.5,1780
275.59,A,run,81,322,84.6,1780
275.73,A,run,81,345,86.2,1784
275.88,A,run,81,352,87.7,1784
275.99,A,run,81,375,86.3,1784
276.09,A,run,81,375,86.1,1788
276.22,A,run,81,397,86.4,1788
276.37,A,run,81,427,86.3,1792
276.5,A,run,81,435,85.5,1792
276.64,A,run,81,465,119.0,1796
276.75,A,run,82,510,121.8,1800
276.87,A,run,82,532,126.9,1804
277.0,A,run,82,532,127.6,1808
277.12,A,run,82,532,127.0,1812
277.24,A,run,83,540,128.5,1816
277.36,A,run,83,487,119.9,1824
277.48,A,run,83,480,118.7,1828
277.6,A,run,83,450,117.4,1828
277.72,A,run,83,405,109.9,1832
277.83,A,run,83,360,88.1,1836
278.01,A,run,82,390,86.9,1836
278.12,A,run,82,390,87.3,1840
278.26,A,run,82,382,86.8,1840
278.4,A,run,82,382,87.1,1844
278.54,A,run,82,382,87.0,1844
278.68,A,run,82,382,85.0,1848
278.78,A,run,81,397,86.2,1848
278.93,A,run,81,390,86.5,1852
279.08,A,run,81,412,85.1,1852
279.18,A,run,81,427,86.8,1856
279.29,A,run,81,435,84.0,1856
279.39,A,run,81,457,92.4,1856
279.49,A,run,81,465,90.4,1864
279.67,A,run,82,585,133.9,1868
279.8,A,run,82,547,128.2,1872
279.92,A,run,83,547,129.7,1876
280.04,A,run,83,517,123.9,1880
280.16,A,run,83,502,122.5,1884
280.28,A,run,83,465,117.6,1888
280.4,A,run,83,465,117.4,1892
280.53,A,run,82,360,86.6,1892
280.63,A,run,82,360,87.6,1896
280.76,A,run,82,367,85.5,1896
280.87,A,run,82,382,86.5,1900
281.02,A,run,82,375,86.6,1900
281.16,A,run,82,367,85.0,1904
281.27,A,run,82,375,87.0,1904
281.37,A,run,82,367,84.9,1908
281.47,A,run,81,367,85.1,1908
281.61,A,run,81,367,85.7,1912
281.76,A,run,81,412,87.5,1912
281.87,A,run,81,412,85.9,1912
281.97,A,run,81,435,87.3,1916
282.07,A,run,81,442,84.8,1916
282.18,A,run,82,465,117.5,1920
282.28,A,run,82,510,124.0,1924
282.41,A,run,82,525,125.6,1928
282.53,A,run,82,532,127.4,1932
282.65,A,run,83,532,126.5,1936
282.77,A,run,83,495,122.2,1940
282.9,A,run,83,480,120.3,1944
283.02,A,run,83,457,118.1,1948
283.15,A,run,82,435,85.3,1952
283.28,A,run,82,367,86.9,1952
283.43,A,run,82,367,86.9,1956
283.57,A,run,82,360,87.3,1956
283.71,A,run,82,360,87.1,1960
283.85,A,run,82,367,84.9,1960
283.95,A,run,82,382,86.4,1964
284.11,A,run,82,375,86.6,1964
284.25,A,run,82,375,87.0,1968
284.4,A,run,81,367,86.7,1968
284.53,A,run,81,382,87.0,1972
284.68,A,run,81,390,85.9,1972
284.79,A,run,81,427,87.4,1976
284.89,A,run,81,420,85.1,1976
285.0,A,run,81,450,93.0,1980
285.1,A,run,81,442,92.3,1980
285.25,A,run,82,345,88.4,1984
285.36,A,run,82,547,96.5,1988
285.46,A,run,82,547,101.9,1988
285.56,A,run,82,577,109.5,1992
285.67,A,run,82,555,109.0,1996
285.77,A,run,82,547,107.1,1996
285.87,A,run,82,487,123.6,2000
286.0,A,run,82,495,123.1,2008
286.17,A,run,83,472,119.4,2012
286.29,A,run,83,472,119.0,2016
286.42,A,run,82,442,85.1,2016
286.54,A,run,82,367,87.4,2020
286.65,A,run,82,367,85.5,2020
286.75,A,run,82,382,86.7,2024
286.9,A,run,82,375,86.9,2024
287.05,A,run,82,375,87.0,2028
287.19,A,run,82,367,87.0,2028
287.32,A,run,82,367,87.0,2032
287.46,A,run,82,375,84.8,2032
287.57,A,run,81,382,86.3,2036
287.72,A,run,81,382,86.7,2036
287.87,A,run,81,390,85.1,2040
287.97,A,run,81,397,86.8,2040
288.07,A,run,81,412,84.8,2040
288.18,A,run,81,442,87.1,2044
288.29,A,run,81,450,117.5,2044
288.43,A,run,82,480,119.8,2048
288.56,A,run,82,517,125.7,2052
288.68,A,run,82,525,125.5,2060
288.8,A,run,83,532,127.6,2064
288.92,A,run,83,532,126.1,2068
289.04,A,run,83,487,121.3,2072
289.17,A,run,83,495,122.7,2076
289.29,A,run,83,450,117.5,2080
289.43,A,run,83,330,86.6,2080
289.53,A,run,82,345,85.2,2084
289.63,A,run,82,345,84.9,2084
289.76,A,run,82,352,85.9,2088
289.91,A,run,82,360,86.8,2088
290.06,A,run,82,352,86.3,2092
290.19,A,run,82,352,86.7,2092
290.33,A,run,82,352,84.7,2096
290.52,A,run,82,345,87.0,2096
290.62,A,run,82,345,86.9,2100
290.76,A,run,82,352,84.8,2100
290.86,A,run,81,367,86.4,2104
291.01,A,run,81,360,86.7,2104
291.16,A,run,81,375,86.3,2108
291.26,A,run,81,390,86.8,2108
291.37,A,run,81,405,83.3,2112
291.47,A,run,81,420,86.6,2112
291.58,A,run,81,427,83.9,2112
291.68,A,run,81,450,92.6,2116
291.79,A,run,82,457,89.1,2120
291.96,A,run,82,495,118.0,2124
292.07,A,run,82,517,124.6,2128
292.19,A,run,82,540,128.6,2132
292.31,A,run,83,540,128.0,2136
292.43,A,run,83,540,129.1,2140
292.55,A,run,83,510,123.3,2144
292.68,A,run,83,502,123.4,2148
292.8,A,run,83,465,118.3,2152
292.92,A,run,83,427,89.6,2156
293.04,A,run,83,412,87.9,2160
293.19,A,run,82,202,72.8,2160
293.3,A,run,82,157,71.4,2160
293.43,A,run,82,157,71.5,2160
293.55,A,run,82,157,71.2,2164
293.67,A,run,81,157,70.8,2164
293.79,A,run,81,172,70.6,2164
293.91,A,run,81,172,69.3,2164
294.03,A,run,81,195,69.0,2168
294.15,A,run,81,202,71.6,2168
294.27,A,run,81,232,85.3,2168
294.39,A,run,81,285,85.9,2168
294.51,A,run,81,300,88.4,2172
294.61,A,run,81,330,86.2,2172
294.71,A,run,81,337,86.8,2176
294.85,A,run,81,360,86.8,2176
294.99,A,run,81,382,84.8,2180
295.1,A,run,81,390,86.9,2180
295.2,A,run,81,412,85.4,2180
295.31,A,run,81,427,86.0,2184
295.46,A,run,81,450,94.8,2184
295.56,A,run,81,457,89.7,2188
295.74,A,run,82,517,122.3,2192
295.84,A,run,82,547,129.4,2196
295.96,A,run,82,555,130.5,2200
296.08,A,run,83,555,128.9,2208
296.2,A,run,83,502,123.8,2212
296.32,A,run,83,510,124.4,2216
296.44,A,run,83,472,119.3,2220
296.57,A,run,83,465,118.8,2224
296.69,A,run,83,345,87.1,2228
296.88,A,run,82,360,85.8,2228
296.99,A,run,82,367,87.4,2228
297.09,A,run,82,367,87.2,2232
297.22,A,run,82,367,87.6,2232
297.36,A,run,82,367,87.3,2236
297.5,A,run,82,367,85.4,2236
297.61,A,run,82,390,86.5,2240
297.76,A,run,82,375,88.3,2240
297.87,A,run,82,367,86.4,2244
297.97,A,run,82,375,87.0,2244
298.12,A,run,82,367,84.9,2248
298.29,A,run,81,382,86.2,2248
298.44,A,run,81,397,86.4,2252
298.58,A,run,81,412,86.9,2252
298.73,A,run,81,420,84.6,2256
298.83,A,run,81,435,87.2,2256
298.94,A,run,81,450,90.7,2260
299.04,A,run,82,442,85.3,2260
299.22,A,run,82,480,120.0,2264
299.37,A,run,82,435,117.8,2272
299.54,A,run,82,405,118.0,2276
299.72,A,run,82,472,122.8,2276
299.83,A,run,82,480,118.6,2280
299.94,A,run,83,517,124.7,2284
300.06,A,run,83,495,122.7,2288
300.19,A,run,83,480,120.5,2292
300.31,A,run,83,457,117.4,2296
300.43,A,run,83,450,116.6,2300
300.55,A,run,82,247,87.1,2304
300.66,A,run,82,240,88.3,2304
300.76,A,run,82,240,87.0,2304
300.87,A,run,82,240,85.6,2308
300.98,A,run,82,247,86.7,2308
301.14,A,run,82,247,87.2,2312
301.28,A,run,82,240,85.3,2312
301.39,A,run,82,255,86.6,2316
301.54,A,run,82,247,86.7,2316
301.68,A,run,82,247,84.9,2320
301.8,A,run,82,255,86.3,2320
301.95,A,run,82,247,86.5,2324
302.09,A,run,82,247,84.6,2324
302.21,A,run,81,247,85.4,2328
302.35,A,run,81,262,87.5,2328
302.46,A,run,81,270,86.0,2332
302.56,A,run,81,300,87.4,2332
302.66,A,run,81,300,86.1,2332
302.77,A,run,81,330,87.1,2336
302.87,A,run,81,322,86.2,2336
302.97,A,run,81,352,87.2,2336
303.08,A,run,81,352,86.3,2340
303.18,A,run,81,375,88.0,2340
303.29,A,run,81,382,86.3,2344
303.39,A,run,81,405,84.7,2344
303.5,A,run,81,405,86.6,2344
303.6,A,run,81,427,84.4,2348
303.7,A,run,81,427,85.5,2348
303.81,A,run,81,450,95.2,2352
303.91,A,run,81,442,92.4,2352
304.06,A,run,82,480,117.8,2356
304.2,A,run,82,465,122.4,2360
304.33,A,run,82,555,129.9,2364
304.44,A,run,83,570,132.7,2368
304.56,A,run,83,577,133.4,2376
304.68,A,run,83,540,129.2,2380
304.8,A,run,83,487,120.7,2384
304.92,A,run,83,487,120.7,2388
305.04,A,run,83,457,117.6,2392
305.17,A,run,83,382,86.4,2392
305.27,A,run,82,195,71.6,2392
305.38,A,run,82,157,71.1,2396
305.51,A,run,82,157,70.3,2396
305.63,A,run,82,157,69.2,2396
305.75,A,run,81,157,72.3,2396
305.87,A,run,81,172,71.6,2396
305.99,A,run,81,172,71.2,2400
306.11,A,run,81,187,70.8,2400
306.23,A,run,81,195,70.7,2400
306.35,A,run,81,217,70.5,2400
306.47,A,run,81,210,72.0,2404
306.59,A,run,81,240,84.5,2404
306.69,A,run,81,300,86.9,2404
306.81,A,run,81,330,86.1,2408
306.92,A,run,81,360,86.7,2408
307.07,A,run,81,375,85.2,2412
307.18,A,run,81,397,86.9,2412
307.28,A,run,81,405,87.1,2416
307.43,A,run,81,420,85.9,2416
307.53,A,run,81,442,87.6,2416
307.63,A,run,81,450,114.2,2420
307.74,A,run,82,472,117.3,2424
307.87,A,run,82,532,126.9,2428
307.99,A,run,82,547,128.7,2432
308.11,A,run,83,547,129.4,2436
308.23,A,run,83,547,127.8,2444
308.35,A,run,83,502,122.7,2448
308.47,A,run,83,465,118.2,2452
308.59,A,run,83,457,116.8,2456
308.71,A,run,83,427,87.8,2456
308.84,A,run,82,367,87.2,2460
308.95,A,run,82,360,86.9,2460
309.09,A,run,82,360,87.0,2464
309.23,A,run,82,360,87.2,2464
309.37,A,run,82,360,87.2,2468
309.51,A,run,82,360,87.1,2468
309.65,A,run,82,367,85.6,2472
309.76,A,run,82,375,86.7,2472
309.91,A,run,82,367,86.4,2476
310.04,A,run,82,360,87.9,2476
310.14,A,run,82,367,87.5,2476
310.28,A,run,82,360,84.7,2480
310.43,A,run,81,367,85.7,2484
310.58,A,run,81,397,87.5,2484
310.68,A,run,81,390,86.3,2484
310.79,A,run,81,420,87.6,2488
310.89,A,run,81,427,86.4,2488
311.0,A,run,81,442,84.0,2492
311.1,A,run,82,465,115.0,2492
311.21,A,run,82,465,117.5,2496
