phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,1931.4720786177324,149.25577777777772,47.02614379084967,1394.9411764705883,12.940685495562128,4.04244384765625,61,877.0,153,172.306,155.253,19.83212169745115,1530,1125,81.90196078431373,18.359477124183005,4.042512489017099,4.042512489017099
prefill,2,128,256,3780.199832765029,122.41662650602416,80.91566265060241,993.0240963855422,30.879790929208493,4.063118408203125,60,877.0,83,141.21,120.53,5.03717264286189,1252,892,82.10843373493977,21.674698795180724,4.06327725504525,4.06327725504525
prefill,3,128,384,3743.079254634363,112.49407920792086,95.0,663.5940594059406,33.27356676004339,4.1035234375,40,877.0,101,179.294,111.648,7.556971912662878,1297,585,82.0,18.831683168316832,4.103573276195675,4.103573276195675
prefill,4,128,512,3593.0631015275535,114.8367558139535,94.54651162790698,647.7674418604652,31.28844137105944,4.13235693359375,29,877.0,86,206.633,117.6465,22.379714823471456,1297,322,82.29069767441861,17.53488372093023,4.1324072470888495,4.1324072470888495
prefill,6,128,768,3322.5971113404853,105.43975257731964,95.84536082474227,487.1340206185567,31.511806791314346,4.62284521484375,20,877.0,97,158.267,108.072,11.147811126308797,1297,360,82.10309278350516,16.762886597938145,4.622889711055905,4.622889711055905
prefill,8,128,1024,2685.3121027854017,101.39465384615389,94.8974358974359,436.7692307692308,26.483764191944733,4.57596240234375,12,877.0,78,216.64,74.02600000000001,43.29551346799228,1297,135,82.64102564102564,13.782051282051283,4.576004400849342,4.576004400849342
prefill,12,128,1536,3403.7879312640107,111.89250549450549,96.0,520.7802197802198,30.420160101170982,4.96383203125,11,877.0,91,185.521,117.744,21.744505325078965,1297,322,82.4065934065934,18.439560439560438,4.963881517061964,4.963881517061964
prefill,16,128,2048,2886.3734763803486,105.00441095890412,94.79452054794521,439.7945205479452,27.488116451698367,4.25718505859375,6,877.0,73,221.951,112.781,32.15916457581998,1215,142,81.95890410958904,14.89041095890411,4.257245328975841,4.257245328975841
prefill,24,128,3072,3087.5566450111187,107.12534939759033,94.79518072289157,460.56626506024094,28.821905014767403,4.9747978515625,5,877.0,83,232.598,118.031,28.812185628814188,1297,157,81.73493975903614,15.53012048192771,4.974807514809072,4.974807514809072
prefill,32,128,4096,3596.4558595207795,113.72111111111109,95.75308641975309,513.283950617284,31.62522617288593,4.55557958984375,4,877.0,81,229.62,121.201,24.219602187046043,1297,322,82.04938271604938,17.77777777777778,4.555596020072699,4.555596020072699
prefill,48,128,6144,3648.901361722027,114.80213793103444,94.98850574712644,500.2528735632184,31.78426314598816,5.05134814453125,3,877.0,87,217.295,122.836,24.60742540030447,1297,315,82.13793103448276,18.49425287356322,5.051383463898674,5.051383463898674
prefill,64,128,8192,3317.2347497152277,111.54356818181813,95.04545454545455,473.32954545454544,29.739363764193666,4.93901123046875,2,877.0,88,231.483,122.69300000000001,35.19331684289564,1252,150,82.27272727272727,16.75,4.93905352987349,4.93905352987349
