cap_w,phase,batch,fixed_len,throughput_tok_s,latency_ms,power_avg_w,sm_clk_avg
220,decode,1,256,22.2,45.05,122.0,1530
220,decode,2,256,43.2,46.33,130.2,1530
220,decode,4,256,83.0,48.22,135.3,1530
220,decode,8,256,164.9,48.51,145.0,1527
220,decode,16,256,322.5,49.61,174.6,1519
220,decode,24,256,457.4,52.48,193.8,1478
220,decode,32,256,569.8,56.16,199.1,1430
220,decode,48,256,576.4,83.28,173.7,1286
220,decode,64,256,623.6,102.63,160.9,1252
240,prefill,1,512,6428.0,79.65,219.9,1260
240,prefill,2,512,6822.6,150.09,218.2,1198
240,prefill,4,512,7038.5,290.97,212.6,1121
240,prefill,8,512,6922.2,591.72,203.3,1046
240,prefill,16,512,6242.9,1312.21,181.8,936
240,prefill,32,512,5323.0,3077.98,149.6,763
240,prefill,48,512,4949.1,4965.76,141.7,712
240,prefill,64,512,4305.0,7611.56,136.1,662
240,decode,1,256,22.1,45.2,121.7,1530
240,decode,2,256,42.8,46.69,133.4,1530
240,decode,4,256,83.0,48.22,135.0,1530
240,decode,8,256,170.6,46.91,148.0,1528
240,decode,16,256,337.2,47.45,180.2,1521
240,decode,24,256,459.9,52.19,187.8,1437
240,decode,32,256,538.6,59.42,181.7,1372
240,decode,48,256,564.2,85.07,158.9,1210
240,decode,64,256,512.1,124.99,151.0,1133
260,prefill,1,512,6277.3,81.56,217.9,1257
260,prefill,2,512,6683.1,153.22,216.9,1193
260,prefill,4,512,6979.7,293.42,216.0,1150
260,prefill,8,512,6763.2,605.63,203.9,1051
260,prefill,16,512,6270.4,1306.46,181.7,937
260,prefill,32,512,5313.9,3083.24,150.6,767
260,prefill,48,512,4938.1,4976.84,141.6,700
260,prefill,64,512,4076.7,8037.93,128.0,574
260,decode,1,256,21.6,46.22,118.7,1506
260,decode,2,256,42.1,47.46,126.8,1530
260,decode,4,256,84.4,47.4,133.4,1530
260,decode,8,256,167.8,47.68,148.9,1530
260,decode,16,256,326.0,49.08,176.9,1527
260,decode,24,256,446.6,53.74,186.6,1447
260,decode,32,256,526.5,60.77,168.3,1319
260,decode,48,256,553.6,86.71,158.8,1222
260,decode,64,256,593.1,107.9,147.9,1166
280,prefill,1,512,6057.4,84.53,211.3,1211
280,prefill,2,512,6409.0,159.77,208.4,1153
280,prefill,4,512,6291.6,325.51,196.1,1048
280,prefill,8,512,6058.7,676.05,182.8,947
280,prefill,16,512,5907.5,1386.71,171.6,886
280,prefill,32,512,5052.6,3242.7,143.7,719
280,prefill,48,512,4368.5,5625.68,134.6,645
280,prefill,64,512,4035.3,8120.33,130.8,613
280,decode,1,256,22.0,45.43,122.6,1530
280,decode,2,256,43.4,46.06,128.6,1530
280,decode,4,256,86.9,46.04,136.4,1530
280,decode,8,256,172.8,46.29,155.1,1530
280,decode,16,256,339.1,47.19,180.7,1511
280,decode,24,256,451.6,53.14,172.7,1365
280,decode,32,256,529.0,60.49,158.3,1246
280,decode,48,256,530.4,90.5,143.3,1127
280,decode,64,256,562.4,113.79,147.7,1214
300,prefill,1,512,5855.4,87.44,201.5,1161
300,prefill,2,512,6138.4,166.82,202.9,1122
300,prefill,4,512,6566.9,311.87,204.0,1094
300,prefill,8,512,6203.9,660.23,185.6,962
300,prefill,16,512,6187.7,1323.91,180.2,933
300,prefill,32,512,5156.6,3177.31,146.6,746
300,prefill,48,512,4667.7,5265.09,137.3,658
300,prefill,64,512,4042.7,8105.44,129.9,608
300,decode,1,256,22.3,44.84,123.1,1530
300,decode,2,256,43.1,46.45,127.0,1530
300,decode,4,256,83.0,48.17,136.3,1530
300,decode,8,256,165.6,48.32,152.2,1530
300,decode,16,256,336.3,47.58,179.8,1509
300,decode,24,256,437.1,54.91,171.7,1364
300,decode,32,256,524.4,61.03,164.6,1298
300,decode,48,256,524.4,91.53,150.8,1147
300,decode,64,256,600.3,106.61,147.0,1147
