phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,util_mem_avg,wall_s,window_s
decode,1,256,1,50.23169954903781,102.8513157894737,32.71052631578947,1299.7631578947369,0.48839141398887936,4.00144482421875,877.0,152,112.877,103.9145,4.341937528977146,1387,1222,201,82.07894736842105,19.95394736842105,4.001457283040509,4.001457283040509
decode,2,256,2,88.26712008849373,98.61444680851062,34.02127659574468,1248.6666666666667,0.8950729121858857,4.010536865234375,877.0,141,101.683,98.797,1.5280881831221709,1297,1207,177,82.0,19.51063829787234,4.010553416097537,4.010553416097537
decode,3,256,3,133.73027340232235,105.83277027027026,36.00675675675676,1288.0945945945946,1.2635998572163318,4.0155341796875,877.0,148,109.45,106.16550000000001,2.6260995048524753,1327,1012,179,82.13513513513513,21.39189189189189,4.015545518137515,4.015545518137515
decode,4,256,4,175.98753950586735,102.13027142857139,38.67142857142857,1212.2,1.7231672553514243,4.000270263671875,877.0,140,107.207,103.554,4.374491204443678,1297,990,176,82.09285714285714,22.521428571428572,4.000283213099465,4.000283213099465
decode,6,256,6,266.2546468778154,99.46205599999995,46.688,1103.536,2.6769469442479203,4.011177978515625,877.0,125,112.395,100.125,3.7554137908976153,1297,555,178,82.0,26.112,4.01119759795256,4.01119759795256
decode,8,256,8,349.15214833746967,100.38600000000002,54.18072289156626,1061.9518072289156,3.478096032688518,4.009694091796875,877.0,83,117.086,101.267,5.283857421714939,1297,607,175,82.0,28.132530120481928,4.009713263018057,4.009713263018057
decode,12,256,12,493.4914055371349,106.32247297297299,61.229729729729726,1011.1081081081081,4.64145906070657,4.01219384765625,877.0,74,128.798,107.637,10.781711671789125,1297,382,165,82.1891891891892,31.027027027027028,4.012227928964421,4.012227928964421
decode,16,256,16,585.9506177002796,104.06731395348834,80.83720930232558,796.5,5.630496218650972,4.0412763671875,877.0,86,131.585,104.4985,14.556939349169065,1297,450,148,82.4186046511628,32.63953488372093,4.0412961919792,4.0412961919792
decode,20,256,20,549.5110018530204,102.11594666666664,80.37333333333333,772.0,5.381245728904312,4.003493896484375,877.0,75,151.368,114.11,24.905694234528422,1297,232,110,81.92,30.093333333333334,4.00355951488018,4.00355951488018
decode,24,256,24,674.3963986047935,101.09482474226809,92.74226804123711,684.1340206185567,6.670929004764633,4.02134326171875,877.0,97,116.919,103.396,9.510352256433494,930,532,113,82.0,31.855670103092784,4.021373787894845,4.021373787894845
decode,32,256,32,750.7607584053158,102.05959375000002,91.86458333333333,663.5416666666666,7.356101771719189,4.04919287109375,877.0,96,151.447,101.4565,12.59671091874294,1260,562,95,82.29166666666667,31.3125,4.049226023023948,4.049226023023948
decode,40,256,40,705.8015384878792,99.54774747474747,95.42424242424242,586.1515151515151,7.090080452768875,4.08043115234375,877.0,99,117.494,98.683,7.674038751167003,907,510,72,82.1919191919192,27.464646464646464,4.080467161023989,4.080467161023989
decode,48,256,48,627.7468994516361,96.93385526315792,95.69736842105263,582.3026315789474,6.476033556567172,4.0525517578125,877.0,76,128.319,97.769,18.519782407997603,1012,300,53,82.07894736842105,24.763157894736842,4.052588714053854,4.052588714053854
decode,56,256,56,726.9197446571047,101.5723152173913,93.44565217391305,711.3913043478261,7.156672003599667,4.23703466796875,877.0,92,127.811,105.239,17.545146185551637,1432,322,55,82.28260869565217,29.22826086956522,4.237056459998712,4.237056459998712
decode,64,256,64,691.1223841797615,99.57463529411766,94.7764705882353,652.5411764705882,6.940747331269305,4.074504150390625,877.0,85,166.75,103.297,25.13299619218531,1297,172,44,82.38823529411765,25.270588235294117,4.07453160895966,4.07453160895966
decode,80,256,80,685.0418018602834,99.12084042553194,96.27659574468085,645.7234042553191,6.9111783043743,4.5544384765625,877.0,94,172.664,102.8985,27.098689534658543,1342,135,39,82.62765957446808,26.872340425531913,4.554466590983793,4.554466590983793
