batch,ctx_len,n_samples,phase,power_avg_w,power_max_w,power_p50_w,sm_clk_avg,sm_clk_max,sm_clk_min,temp_avg,throughput_tok_s,util_gpu_avg,util_mem_avg,window_s
4,512,199,decode,86.91371356783917,105.069,89.643,2807.829145728643,2820,2745,61.1356783919598,284.2332170865611,82.53266331658291,55.7035175879397,4.010790897999868
8,512,199,decode,93.76474874371885,121.323,98.166,2808.4824120603016,2812,2730,60.88442211055276,539.5939362724433,70.15577889447236,47.39698492462311,4.0030101430002105
16,512,221,decode,103.32378280542989,126.519,106.753,2792.452488687783,2820,2715,62.28054298642534,921.0226493768935,90.22624434389141,61.547511312217196,4.4472304809996785
24,512,199,decode,110.20403517587968,120.87,116.417,2793.7688442211056,2820,2790,64.12562814070351,1467.6935694570523,92.34673366834171,60.37688442211055,4.006285864000347
32,512,199,decode,113.13520603015063,121.351,119.656,2792.120603015075,2812,2782,64.74874371859296,1767.839201323904,92.50251256281408,61.08040201005025,4.000363830999959
48,512,199,decode,121.0773819095477,129.033,128.189,2786.472361809045,2812,2782,65.46231155778895,2265.8658840205803,71.79899497487438,49.65829145728643,4.00376741800028
64,512,199,decode,128.68442211055284,137.361,136.17,2790.6532663316584,2805,2782,67.02010050251256,2733.1653965866763,94.0,67.0,4.004148454999267
