klass,band,ratio_agg,via_workload,mapping_caveat,opt_tok_s,tdp_tok_s,gain_pct,opt_N_prefill,opt_N_decode,opt_cap_prefill_w,opt_cap_decode_w,opt_w_provisioned,opt_w_measured,tdp_N_prefill,tdp_N_decode,opt_rack_tok_per_j,tdp_rack_tok_per_j,opt_pct_of_cont_bound,constraint_binds
推理,balanced,0.83,longform-phi3,anchor longform-phi3 dec 4096x8; qwen3think-4b (8192x8) is the closer shape but has no H200 data,8927.5,6278.8,42.2,1,31,200,365,11500,11480,1,19,0.778,0.546,82.0,N_max=32+Np=1
助手API,prefill-heavy,7.7,translate-qwen3b,translate curves (512x64) stand in for its ~0.7k programmatic requests,274637.1,203798.7,34.8,11,21,385,346,11500,11460,7,13,23.964,17.786,90.2,N_max=32
多模态图文,prefill-heavy,9.4,rag-phi3,"text-only curves - vision tokens priced as text prefill (no multimodal measurement); dec 1024x32 vs ~1.3k effective context, the closest anchor in the set",95797.7,71399.8,34.2,13,19,410,324,11500,11435,8,12,8.378,6.222,90.0,N_max=32
对话,prefill-heavy,15.5,chat-phi3,"anchor chat-phi3 dec 256x64 vs ~1.7k accumulated history - anchor context SHORTER than the class, so the decode ceiling is OPTIMISTIC (T proportional to 1/C)",308466.7,229608.1,34.3,20,12,385,316,11500,11484,12,8,26.861,20.314,89.2,N_max=32
长上下文对话,prefill-heavy,35.1,chat-phi3+summarize-qwen7b,"SYNTHETIC: geometric mean of the chat-phi3 and summarize-qwen7b curves, no sweep of its own. Effective context ~sqrt(256*32768)=2.9k against a real ~12.2k, so the decode ceiling is OPTIMISTIC by ~4x; summarize-qwen7b alone would be ~2.7x CONSERVATIVE",131073.6,95467.0,37.3,13,19,417,320,11500,11434,8,12,11.463,8.469,89.4,N_max=32
Agentic工具调用,prefill-heavy,47.2,summarize-qwen7b,32k summarize curves vs ~8.7k per-step context - conservative; full-history re-prefill accounting,31845.0,22968.7,38.6,5,27,408,350,11500,11454,3,17,2.78,2.037,90.2,N_max=32
代码补全,prefill-heavy,110.7,code-phi3,,190977.1,142744.0,33.8,22,10,373,329,11500,11496,13,7,16.612,12.469,89.1,N_max=32
