phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,361.7,99.2,782,877,100,62,3.64,42.8,512,64,528.0,32,5.66,1.8,2
decode,120,462.5,119.5,1030,877,100,79,3.87,46.0,512,64,528.0,32,4.43,0.07,2
decode,140,502.0,139.9,1186,877,100,87,3.59,48.0,512,64,528.0,32,4.08,0.19,2
decode,160,527.2,159.3,1301,877,100,89,3.31,50.8,512,64,528.0,32,3.88,0.12,2
decode,180,545.3,177.3,1400,877,100,93,3.08,52.9,512,64,528.0,32,3.76,0.01,2
decode,200,556.5,196.8,1484,877,100,95,2.83,55.9,512,64,528.0,32,3.68,0.02,2
decode,220,560.3,211.0,1526,877,100,97,2.65,57.0,512,64,528.0,32,3.66,0.07,2
decode,250,559.6,216.7,1520,877,100,97,2.58,59.0,512,64,528.0,32,3.66,0.1,2
