phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,614.3,100.3,808,877,99,61,6.13,47.2,512,64,528.0,32,3.33,0.55,2
decode,120,768.2,119.2,1047,877,100,78,6.44,49.0,512,64,528.0,32,2.67,1.06,2
decode,140,828.1,138.0,1187,877,100,82,6.0,50.0,512,64,528.5,33,2.55,2.51,2
decode,160,855.9,156.5,1319,877,98,86,5.47,52.0,512,64,529.5,35,2.62,0.68,2
decode,180,887.6,176.2,1412,877,99,90,5.04,53.4,512,64,530.0,36,2.6,0.8,2
decode,200,901.0,194.3,1490,877,100,92,4.64,55.1,512,64,530.0,36,2.56,3.23,2
decode,220,894.8,200.3,1505,877,99,91,4.47,57.7,512,64,530.0,36,2.58,0.49,2
decode,250,905.0,209.3,1515,877,100,92,4.32,59.0,512,64,530.0,36,2.55,0.36,2
