phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,169.4,99.3,771,877,99,39,1.71,39.7,1024,32,1040.0,32,6.04,0.22,2
decode,120,218.1,118.2,958,877,98,51,1.85,42.0,1024,32,1040.0,32,4.69,2.55,2
decode,140,250.4,139.7,1119,877,100,57,1.79,44.0,1024,32,1040.0,32,4.09,1.4,2
decode,160,263.2,160.4,1250,877,99,60,1.64,46.0,1024,32,1040.0,32,3.89,0.76,2
decode,180,269.5,179.2,1351,877,99,62,1.5,48.1,1024,32,1040.0,32,3.8,2.61,2
decode,200,275.0,198.6,1442,877,100,63,1.38,49.7,1024,32,1040.0,32,3.72,1.28,2
decode,220,275.8,216.0,1510,877,98,63,1.28,50.6,1024,32,1040.0,32,3.71,0.14,2
decode,250,281.3,227.7,1514,877,100,64,1.24,52.0,1024,32,1040.0,32,3.64,0.54,2
