phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,85.1,87.7,646,877,95,35,0.97,48.0,256,8,280.0,48,4.51,11.74,3
decode,120,147.3,118.5,1266,877,74,56,1.24,52.0,256,8,279.5,47,2.55,35.17,3
decode,140,147.1,138.7,1436,877,69,55,1.06,54.3,256,8,279.0,46,2.5,3.14,2
decode,160,148.3,151.8,1520,877,69,56,0.98,55.8,256,8,279.5,47,2.54,1.67,2
decode,180,148.6,152.4,1515,877,70,57,0.97,58.2,256,8,279.5,47,2.53,2.67,2
decode,200,149.3,156.6,1518,877,71,57,0.95,59.8,256,8,279.5,47,2.52,0.45,2
decode,220,116.3,135.9,1517,877,56,44,0.86,59.0,256,8,274.5,37,2.54,2.35,2
decode,250,129.0,144.5,1518,877,62,49,0.89,60.2,256,8,276.5,41,2.54,11.12,3
