phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch
decode,100,78.1,100.2,868,877,100,39,0.78,41.9,4096,8
decode,120,93.1,119.8,1106,877,100,48,0.78,43.0,4096,8
decode,140,99.8,140.1,1256,877,100,52,0.71,45.0,4096,8
decode,160,103.9,158.5,1365,877,100,54,0.66,46.1,4096,8
decode,180,107.0,178.2,1460,877,100,55,0.6,48.0,4096,8
decode,200,109.0,196.3,1524,877,100,57,0.56,50.0,4096,8
decode,220,109.2,197.8,1528,877,100,57,0.55,51.1,4096,8
decode,250,109.2,210.0,1530,877,100,57,0.52,53.2,4096,8
