phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch
decode,100,472.5,101.2,915,877,93,37,4.67,45.3,256,64
decode,120,556.3,113.4,1091,877,94,44,4.91,46.9,256,64
decode,140,636.2,134.2,1182,877,97,51,4.74,48.4,256,64
decode,160,677.4,151.7,1275,877,99,53,4.47,49.8,256,64
decode,180,696.3,168.2,1367,877,98,53,4.14,51.2,256,64
decode,200,726.6,187.8,1442,877,100,56,3.87,52.8,256,64
decode,220,738.5,202.4,1495,877,99,57,3.65,54.3,256,64
decode,250,751.3,214.7,1527,877,100,59,3.5,55.7,256,64
