phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch
decode,100,4.7,101.2,801,877,99,81,0.05,40.0,32768,4
decode,120,5.9,119.9,1033,877,100,96,0.05,42.3,32768,4
decode,140,6.1,139.6,1243,877,99,96,0.04,45.0,32768,4
decode,160,6.2,157.5,1384,877,100,97,0.04,46.6,32768,4
decode,180,6.2,177.8,1503,877,100,98,0.04,48.9,32768,4
decode,200,6.2,184.0,1528,877,99,97,0.03,51.0,32768,4
decode,220,6.3,185.1,1529,877,100,98,0.03,52.8,32768,4
decode,250,6.3,189.9,1530,877,100,97,0.03,53.3,32768,4
