phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,1886.0,73.0,441,877,98,9,25.85,44.1,512,8
prefill,120,4480.9,119.8,653,877,98,21,37.41,47.0,512,8
prefill,140,5663.0,142.6,821,877,97,26,39.72,48.6,512,8
prefill,160,6637.9,161.3,950,877,97,30,41.14,49.8,512,8
prefill,180,7255.6,180.6,1062,877,97,33,40.18,51.3,512,8
prefill,200,7639.3,199.4,1133,877,96,34,38.32,52.6,512,8
prefill,220,7999.0,220.6,1203,877,97,36,36.25,54.2,512,8
prefill,250,8334.8,244.9,1302,877,97,38,34.03,56.1,512,8
