phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,1352.4,99.2,537,877,99,35,13.64,49.4,2048,4
prefill,120,1767.2,118.4,746,877,98,46,14.93,55.6,2048,4
prefill,140,2162.1,143.2,882,877,98,56,15.1,59.8,2048,4
prefill,160,2398.5,154.6,1012,877,98,61,15.52,63.8,2048,4
prefill,180,2556.0,174.2,1116,877,99,67,14.67,65.7,2048,4
prefill,200,2686.9,195.9,1215,877,99,69,13.71,61.4,2048,4
prefill,220,2741.2,206.2,1278,877,99,70,13.29,62.8,2048,4
prefill,250,2785.5,229.1,1336,877,98,71,12.16,64.1,2048,4
