phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,2935.8,85.2,483,877,97,18,34.47,42.6,512,8
prefill,120,4977.3,120.4,719,877,98,31,41.34,44.7,512,8
prefill,140,6105.4,140.8,859,877,97,36,43.36,45.8,512,8
prefill,160,7064.0,158.8,1028,877,95,42,44.48,47.0,512,8
prefill,180,7550.3,180.9,1116,877,98,46,41.75,48.8,512,8
prefill,200,7909.1,200.5,1190,877,97,48,39.45,50.4,512,8
prefill,220,8169.6,219.8,1253,877,96,49,37.17,51.8,512,8
prefill,250,8450.1,242.6,1374,877,97,51,34.83,53.6,512,8
