phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,10.8,99.4,755,877,99,75,0.11,52.5,8192,8,8208.0,32,23.73,0.5,2
decode,120,14.3,118.0,931,877,96,93,0.12,57.7,8192,8,8208.0,32,17.93,0.8,2
decode,140,15.3,139.0,1131,877,98,98,0.11,62.0,8192,8,8208.0,32,16.7,0.31,2
decode,160,15.8,159.6,1287,877,100,99,0.1,64.0,8192,8,8208.0,32,16.21,0.62,2
decode,180,15.9,178.7,1410,877,99,99,0.09,65.2,8192,8,8208.0,32,16.15,0.27,2
decode,200,16.0,198.6,1498,877,99,99,0.08,68.7,8192,8,8208.0,32,16.02,1.19,2
decode,220,16.0,207.7,1528,877,100,99,0.08,70.0,8192,8,8208.0,32,16.02,1.32,2
decode,250,16.0,212.6,1528,877,100,99,0.08,72.2,8192,8,8208.0,32,15.99,1.95,2
