phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,1252.9,97.5,505,877,99,25,12.85,43.0,2048,4
prefill,120,1779.9,123.9,709,877,99,36,14.36,44.4,2048,4
prefill,140,2134.6,148.1,869,877,99,43,14.41,45.7,2048,4
prefill,160,2409.0,158.3,977,877,98,49,15.22,46.9,2048,4
prefill,180,2618.4,184.9,1091,877,99,52,14.17,48.2,2048,4
prefill,200,2755.9,208.7,1168,877,98,55,13.21,49.9,2048,4
prefill,220,2842.7,219.0,1227,877,98,55,12.98,51.4,2048,4
prefill,250,2917.0,232.6,1289,877,98,56,12.54,52.7,2048,4
