phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,5679.2,84.7,491,877,98,21,67.08,42.4,512,16
prefill,120,9544.0,118.9,698,877,97,33,80.3,44.0,512,16
prefill,140,12203.6,143.6,880,877,98,42,84.97,45.5,512,16
prefill,160,13790.8,160.3,1023,877,95,46,86.02,46.7,512,16
prefill,180,14692.2,181.1,1118,877,98,51,81.12,48.1,512,16
prefill,200,15378.5,200.8,1198,877,97,53,76.6,49.9,512,16
prefill,220,15887.8,218.3,1274,877,97,55,72.79,51.5,512,16
prefill,250,16321.8,241.7,1382,877,97,56,67.54,53.2,512,16
