phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,seq_len,batch
prefill,100,2384.2,79.9,459,877,99,11,29.83,41.4,256,16
prefill,120,4630.1,120.3,666,877,97,21,38.48,43.0,256,16
prefill,140,5730.7,141.4,809,877,96,26,40.52,44.5,256,16
prefill,160,6742.9,160.2,956,877,97,30,42.09,45.8,256,16
prefill,180,7405.7,180.9,1069,877,96,33,40.93,47.7,256,16
prefill,200,7793.1,200.6,1138,877,96,35,38.85,49.4,256,16
prefill,220,8138.6,220.3,1205,877,96,36,36.93,51.2,256,16
prefill,250,8492.2,245.5,1299,877,97,39,34.59,53.2,256,16
