id,prefill_seq_len,prefill_batch,R2_v2f,R2_unified,relRMSE_v2f_pct,relRMSE_unified_pct,LOO_v2f_pct,LOO_unified_pct,p,theta,p_over_theta,P_s_W,chi_W,T_fmax,R2_clock_fit
chat-phi3,512,8,0.998,0.976,1.5,4.7,3.4,21.2,0.89,1.85,0.481,284.4,1307.4,42848.0,0.98
rag-phi3,4096,2,0.999,0.982,0.9,3.9,2.4,13.7,0.95,2.01,0.472,286.6,1258.8,17875.0,0.98
code-phi3,2048,4,0.998,0.988,1.6,3.6,5.0,15.5,0.92,1.75,0.527,251.9,1057.3,23509.0,0.989
longform-phi3,256,16,0.997,0.98,1.7,4.3,2.4,21.2,0.9,1.79,0.501,286.9,1295.7,47546.0,0.98
summarize-qwen7b,4096,2,1.0,0.96,0.6,5.9,1.2,20.9,0.9,2.48,0.364,327.4,2028.1,18651.0,0.968
translate-qwen3b,512,8,0.996,0.984,1.5,3.0,2.6,13.7,0.92,1.88,0.49,286.6,1465.4,68377.0,0.979
fastchat-qwen15b,512,16,0.994,0.98,2.7,5.0,10.1,13.9,0.96,2.07,0.462,243.3,974.9,132393.0,0.989
classify-qwen7b,2048,4,0.981,0.935,4.7,8.7,8.8,13.6,0.96,1.0,0.962,178.6,960.9,26943.0,0.915
